"","n","lambda","z_test","beta_T","rand_type","model_name","feature","val","test_type","allocation_method"
"215","100","0.01","1","0","ps_min_exact","ZE","std_err_beta_T",NA,"Exact","M"
"216","100","0.01","1","0","ps_min_exact","ZE","power",0.0495,"Exact","M"
"217","100","0.01","1","0","ps_min_exact","ZE","pct_trt_diff",0.0029,"Exact","M"
"218","100","0.01","1","0","ps_min_exact","ZE","res_end_prop_avg",NA,"Exact","M"
"219","100","0.01","1","0","ps_min_exact","ZE","ssqr_over_sum",NA,"Exact","M"
"220","100","0.01","1","0","ps_min_exact","ZE","ssqr_eq_ssqd_pval",NA,"Exact","M"
"221","100","0.01","1","0","ps_min_exact","ZE","match_corr",NA,"Exact","M"
"222","100","0.01","1","0","ps_min_exact","ZE","corr_eq_zero_pval",NA,"Exact","M"
"223","100","0.01","1","0","ps_min_exact","ZE","pct_only_matches",NA,"Exact","M"
"224","100","0.01","1","0","ps_min_exact","ZE","pct_only_reservoir",NA,"Exact","M"
"225","100","0.01","1","0","ps_min_exact","ZE","true_var_prop_diff",NA,"Exact","M"
"226","100","0.01","1","0","ps_min_lin","ZE","avg_max_std_diff_bal",0.380656450110691,"Linear","M"
"227","100","0.01","1","0","ps_min_lin","ZE","avg_max_ks_stat",0.118895450180072,"Linear","M"
"228","100","0.01","1","0","ps_min_lin","ZE","avg_beta_T",-0.0129217941237919,"Linear","M"
"229","100","0.01","1","0","ps_min_lin","ZE","avg_abs_bias",0.270796021374395,"Linear","M"
"230","100","0.01","1","0","ps_min_lin","ZE","std_err_beta_T",0.343607985463654,"Linear","M"
"231","100","0.01","1","0","ps_min_lin","ZE","power",0.0465,"Linear","M"
"232","100","0.01","1","0","ps_min_lin","ZE","pct_trt_diff",0.00297,"Linear","M"
"233","100","0.01","1","0","ps_min_lin","ZE","res_end_prop_avg",NA,"Linear","M"
"234","100","0.01","1","0","ps_min_lin","ZE","ssqr_over_sum",NA,"Linear","M"
"235","100","0.01","1","0","ps_min_lin","ZE","ssqr_eq_ssqd_pval",NA,"Linear","M"
"236","100","0.01","1","0","ps_min_lin","ZE","match_corr",NA,"Linear","M"
"237","100","0.01","1","0","ps_min_lin","ZE","corr_eq_zero_pval",NA,"Linear","M"
"238","100","0.01","1","0","ps_min_lin","ZE","pct_only_matches",NA,"Linear","M"
"239","100","0.01","1","0","ps_min_lin","ZE","pct_only_reservoir",NA,"Linear","M"
"240","100","0.01","1","0","ps_min_lin","ZE","true_var_prop_diff",NA,"Linear","M"
"241","100","0.01","1","0","ps_min_ttest","ZE","avg_max_std_diff_bal",0.379276039918716,"Classic","M"
"242","100","0.01","1","0","ps_min_ttest","ZE","avg_max_ks_stat",0.119624864907501,"Classic","M"
"243","100","0.01","1","0","ps_min_ttest","ZE","avg_beta_T",-0.00506064527639106,"Classic","M"
"244","100","0.01","1","0","ps_min_ttest","ZE","avg_abs_bias",0.278353839721108,"Classic","M"
"245","100","0.01","1","0","ps_min_ttest","ZE","std_err_beta_T",0.350375822587681,"Classic","M"
"246","100","0.01","1","0","ps_min_ttest","ZE","power",0.061,"Classic","M"
"247","100","0.01","1","0","ps_min_ttest","ZE","pct_trt_diff",0.003275,"Classic","M"
"248","100","0.01","1","0","ps_min_ttest","ZE","res_end_prop_avg",NA,"Classic","M"
"249","100","0.01","1","0","ps_min_ttest","ZE","ssqr_over_sum",NA,"Classic","M"
"250","100","0.01","1","0","ps_min_ttest","ZE","ssqr_eq_ssqd_pval",NA,"Classic","M"
"251","100","0.01","1","0","ps_min_ttest","ZE","match_corr",NA,"Classic","M"
"252","100","0.01","1","0","ps_min_ttest","ZE","corr_eq_zero_pval",NA,"Classic","M"
"253","100","0.01","1","0","ps_min_ttest","ZE","pct_only_matches",NA,"Classic","M"
"254","100","0.01","1","0","ps_min_ttest","ZE","pct_only_reservoir",NA,"Classic","M"
"255","100","0.01","1","0","ps_min_ttest","ZE","true_var_prop_diff",NA,"Classic","M"
"256","100","0.01","1","0","seq_match_kk","ZE","avg_max_std_diff_bal",0.679693733613659,"Classic","SM"
"257","100","0.01","1","0","seq_match_kk","ZE","avg_max_ks_stat",0.134465783346609,"Classic","SM"
"258","100","0.01","1","0","seq_match_kk","ZE","avg_beta_T",-0.000861499134817219,"Classic","SM"
"259","100","0.01","1","0","seq_match_kk","ZE","avg_abs_bias",0.287320827486827,"Classic","SM"
"260","100","0.01","1","0","seq_match_kk","ZE","std_err_beta_T",0.358778134725209,"Classic","SM"
"261","100","0.01","1","0","seq_match_kk","ZE","power",0.0685,"Classic","SM"
"262","100","0.01","1","0","seq_match_kk","ZE","pct_trt_diff",0.028595,"Classic","SM"
"263","100","0.01","1","0","seq_match_kk","ZE","res_end_prop_avg",NA,"Classic","SM"
"264","100","0.01","1","0","seq_match_kk","ZE","ssqr_over_sum",NA,"Classic","SM"
"265","100","0.01","1","0","seq_match_kk","ZE","ssqr_eq_ssqd_pval",NA,"Classic","SM"
"266","100","0.01","1","0","seq_match_kk","ZE","match_corr",NA,"Classic","SM"
"267","100","0.01","1","0","seq_match_kk","ZE","corr_eq_zero_pval",NA,"Classic","SM"
"268","100","0.01","1","0","seq_match_kk","ZE","pct_only_matches",NA,"Classic","SM"
"269","100","0.01","1","0","seq_match_kk","ZE","pct_only_reservoir",NA,"Classic","SM"
"270","100","0.01","1","0","seq_match_kk","ZE","true_var_prop_diff",NA,"Classic","SM"
"271","100","0.01","1","0","seq_match_kk_exact","ZE","avg_max_std_diff_bal",0.674752918521155,"Exact","SM"
"272","100","0.01","1","0","seq_match_kk_exact","ZE","avg_max_ks_stat",0.134592974551327,"Exact","SM"
"273","100","0.01","1","0","seq_match_kk_exact","ZE","avg_beta_T",NA,"Exact","SM"
"274","100","0.01","1","0","seq_match_kk_exact","ZE","avg_abs_bias",NA,"Exact","SM"
"275","100","0.01","1","0","seq_match_kk_exact","ZE","std_err_beta_T",NA,"Exact","SM"
"276","100","0.01","1","0","seq_match_kk_exact","ZE","power",0.038,"Exact","SM"
"277","100","0.01","1","0","seq_match_kk_exact","ZE","pct_trt_diff",0.028495,"Exact","SM"
"278","100","0.01","1","0","seq_match_kk_exact","ZE","res_end_prop_avg",NA,"Exact","SM"
"279","100","0.01","1","0","seq_match_kk_exact","ZE","ssqr_over_sum",NA,"Exact","SM"
"280","100","0.01","1","0","seq_match_kk_exact","ZE","ssqr_eq_ssqd_pval",NA,"Exact","SM"
